ROC,AP,F1,Accuracy,BalancedAccuracy,Recall,Specificity,Precision,TN,FP,FN,TP,Dataset,Comparison,ModelType,ModelName,FeatureSet,FeatureCount,SamplingScenario,SelectionMethod
0.5,0.2436548223350254,0.0,0.7563451776649747,0.5,0.0,1.0,0.0,149,0,48,0,ERa_BLA_assay,12 model result,GaussianNB,model_ERa_BLA_GaussianNB,rdkit,217,none,none
0.9072654462242563,0.9513467870878207,0.8734177215189873,0.8250728862973761,0.7843821510297483,0.9078947368421053,0.6608695652173913,0.8414634146341463,76,39,21,207,ERa_LUC_VM7_assay,12 model result,RandomForest,model_ERa_LUC_VM7_RandomForest,all_available,2431,none,none
0.8975209763539284,0.9334194093240221,0.8865096359743041,0.8454810495626822,0.814816933638444,0.9078947368421053,0.7217391304347827,0.8661087866108786,83,32,21,207,ERa_LUC_VM7_assay,12 model result,HistGradientBoosting,model_ERa_LUC_VM7_HistGradientBoosting,all_available,2431,none,none
0.8962242562929061,0.9409451233601909,0.8789808917197452,0.8338192419825073,0.7974256292906179,0.9078947368421053,0.6869565217391305,0.8518518518518519,79,36,21,207,ERa_LUC_VM7_assay,12 model result,ExtraTrees,model_ERa_LUC_VM7_ExtraTrees,all_available,2431,none,none
0.8910755148741419,0.924652027746633,0.8757894736842106,0.8279883381924198,0.7865751334858886,0.9122807017543859,0.6608695652173913,0.8421052631578947,76,39,20,208,ERa_LUC_VM7_assay,12 model result,CatBoost,model_ERa_LUC_VM7_CatBoost,all_available,2431,none,none
0.88558352402746,0.9200914616065018,0.8818565400843882,0.8367346938775511,0.797463768115942,0.9166666666666666,0.6782608695652174,0.8495934959349594,78,37,19,209,ERa_LUC_VM7_assay,12 model result,GradientBoosting,model_ERa_LUC_VM7_GradientBoosting,all_available,2431,none,none
0.8786041189931351,0.9220637052163373,0.8652173913043478,0.8192419825072886,0.7929252479023646,0.8728070175438597,0.7130434782608696,0.8577586206896551,82,33,29,199,ERa_LUC_VM7_assay,12 model result,RBF_SVM,model_ERa_LUC_VM7_RBF_SVM,all_available,2431,none,none
0.8452707856598017,0.9085714707762772,0.8410462776659959,0.7696793002915452,0.697463768115942,0.9166666666666666,0.4782608695652174,0.7769516728624535,55,60,19,209,ERa_LUC_VM7_assay,12 model result,LinearSVM,model_ERa_LUC_VM7_LinearSVM,all_available,2431,none,none
0.8265064836003051,0.8712056174147739,0.8359550561797753,0.7871720116618076,0.773112128146453,0.8157894736842105,0.7304347826086957,0.8571428571428571,84,31,42,186,ERa_LUC_VM7_assay,12 model result,LogisticRegression,model_ERa_LUC_VM7_LogisticRegression,all_available,2431,none,none
0.7703852021357742,0.8174915946318428,0.8395522388059702,0.749271137026239,0.6325514874141877,0.9868421052631579,0.2782608695652174,0.7305194805194806,32,83,3,225,ERa_LUC_VM7_assay,12 model result,kNN,model_ERa_LUC_VM7_kNN,all_available,2431,none,none
0.7578756674294431,0.810796619262255,0.8277404921700223,0.7755102040816326,0.7578756674294431,0.8114035087719298,0.7043478260869566,0.8447488584474886,81,34,43,185,ERa_LUC_VM7_assay,12 model result,DecisionTree,model_ERa_LUC_VM7_DecisionTree,all_available,2431,none,none
0.5,0.6647230320699709,0.0,0.33527696793002915,0.5,0.0,1.0,0.0,115,0,228,0,ERa_LUC_VM7_assay,12 model result,GaussianNB,model_ERa_LUC_VM7_GaussianNB,all_available,2431,none,none
